source,target
!,!
"""",""""
#,#
$,$
&,&
','
70,'70s
«toutesles,'all
'd,'d
'Hara,'hara
'i,'i
'll,'ll
'm,'m
«Mon,'mon
'N,'n
'es,'re
'roll,'roll
's,'s
«le,'the
've,'ve
(,(
),)
*,*
+,+
",",","
--,-
--,--
.,.
..,..
...,...
....,....
.....,.....
/,/
1/2,1/2
10/10,10/10
100%,100%
17e,17th
18e,18th
1930,1930s
1950,1950s
1980,1980s
Années1990,1990s
1er,1st
2-disc,2-disc
"2,0",2.0
"2,35",2.35
"2,5",2.5
20e,20th
21e,21st
3/5,3/5
3e,3rd
"4,5",4.5
4/5,4/5
5-star,5-star
"5,1",5.1
5/5,5/5
5e,5th
60s,60s
70s,70s
7e,7th
8/10,8/10
80s,80s
9/10,9/10
90%,90%
90s,90s
;,;
<happy>,<happy>
<num>,<num>
=,=
?,?
@,@
[,[
],]
`,`
un,a
Aaron,aaron
ab,ab
capacités,abilities
lacapacité,ability
capable,able
abomination,abomination
avortement,abortion
àproposde,about
au-dessus,above
àl'étranger,abroad
absente,absent
absolue,absolute
absolument,absolutely
absorber,absorb
résumé,abstract
absurde,absurd
abusé,abused
abusive,abusive
abyssal,abysmal
universitaires,academic
Académie,academy
accent,accent
accents,accents
accepter,accept
acceptable,acceptable
acceptés,accepted
accessible,accessible
accident,accident
accidentelle,accidental
acclamé,acclaimed
accompagner,accompany
selon,according
compte,account
précis,accurate
habitué,accustomed
ace,ace
atteint,achieved
réalisation,achievement
acoustique,acoustic
acquis,acquired
parmi,across
Loi,act
agi,acted
agissant,acting
action,action
actions,actions
active,active
activités,activities
acteur,actor
acteurs,actors
actrice,actress
actrices,actresses
actes,acts
réelle,actual
enréalité,actually
ad,ad
adam,adam
adams,adams
adapter,adapt
adaptation,adaptation
adaptés,adapted
ajouter,add
ajouté,added
addictive,addictive
ajoutant,adding
Outre,addition
supplémentaires,additional
enoutre,additionally
adresse,address
adresses,addresses
adressage,addressing
ajoute,adds
adéquatement,adequately
admirable,admirable
admirer,admire
admission,admission
admettre,admit
admet,admits
admis,admitted
adoptée,adopted
adorable,adorable
adultes,adult
adultes,adults
avance,advance
avancée,advanced
avantage,advantage
aventure,adventure
aventures,adventures
aventureux,adventurous
annoncés,advertised
conseil,advice
conseiller,advise
affaire,affair
touchés,affected
susmentionnées,aforementioned
apeuré,afraid
african,african
après,after
suite,afterward
ànouveau,again
contre,against
âge,age
âgés,aged
l'ordredujour,agenda
agent,agent
âges,ages
vieillissement,aging
Ilya,ago
êtred'accord,agree
convenues,agreed
Ah!,ah
àvenir,ahead
AI,ai
SIDA,aids
objectif,aim
visant,aimed
vise,aims
n'estpas,aint
air,air
avion,airplane
Airplay,airplay
Aéroport,airport
aka,aka
s'apparente,akin
akira,akira
al,al
alan,alan
albert,albert
Album,album
Albums,albums
alcoolisées,alcoholic
alerte,alert
alex,alex
alfred,alfred
exotiques,alien
étrangers,aliens
ressemblent,alike
vivante,alive
tous,all
detouslestemps,all-time
autorisé,allowed
permettant,allowing
permet,allows
presque,almost
seul,alone
lelongde,along
auxcôtésde,alongside
beaucoup,alot
alphabet,alphabet
déjà,already
alright,alright
également,also
altéré,altered
