source,target
!,!
"""",""""
#,#
$,$
&,&
','
'70s,70
'all,«toutesles
'd,'d
'hara,'Hara
'i,'i
'll,'ll
'm,'m
'mon,«Mon
'n,'N
're,'es
'roll,'roll
's,'s
'the,«le
've,'ve
(,(
),)
*,*
+,+
",",","
-,--
--,--
.,.
..,..
...,...
....,....
.....,.....
/,/
1/2,1/2
10/10,10/10
100%,100%
17th,17e
18th,18e
1930s,1930
1950s,1950
1980s,1980
1990s,Années1990
1st,1er
2-disc,2-disc
2.0,"2,0"
2.35,"2,35"
2.5,"2,5"
20th,20e
21st,21e
3/5,3/5
3rd,3e
4.5,"4,5"
4/5,4/5
5-star,5-star
5.1,"5,1"
5/5,5/5
5th,5e
60s,60s
70s,70s
7th,7e
8/10,8/10
80s,80s
9/10,9/10
90%,90%
90s,90s
;,;
<happy>,<happy>
<num>,<num>
=,=
?,?
@,@
[,[
],]
`,`
a,un
aaron,Aaron
ab,ab
abilities,capacités
ability,lacapacité
able,capable
abomination,abomination
abortion,avortement
about,àproposde
above,au-dessus
abroad,àl'étranger
absent,absente
absolute,absolue
absolutely,absolument
absorb,absorber
abstract,résumé
absurd,absurde
abused,abusé
abusive,abusive
abysmal,abyssal
academic,universitaires
academy,Académie
accent,accent
accents,accents
accept,accepter
acceptable,acceptable
accepted,acceptés
accessible,accessible
accident,accident
accidental,accidentelle
acclaimed,acclamé
accompany,accompagner
according,selon
account,compte
accurate,précis
accustomed,habitué
ace,ace
achieved,atteint
achievement,réalisation
acoustic,acoustique
acquired,acquis
across,parmi
act,Loi
acted,agi
acting,agissant
action,action
actions,actions
active,active
activities,activités
actor,acteur
actors,acteurs
actress,actrice
actresses,actrices
acts,actes
actual,réelle
actually,enréalité
ad,ad
adam,adam
adams,adams
adapt,adapter
adaptation,adaptation
adapted,adaptés
add,ajouter
added,ajouté
addictive,addictive
adding,ajoutant
addition,Outre
additional,supplémentaires
additionally,enoutre
address,adresse
addresses,adresses
addressing,adressage
adds,ajoute
adequately,adéquatement
admirable,admirable
admire,admirer
admission,admission
admit,admettre
admits,admet
admitted,admis
adopted,adoptée
adorable,adorable
adult,adultes
adults,adultes
advance,avance
advanced,avancée
advantage,avantage
adventure,aventure
adventures,aventures
adventurous,aventureux
advertised,annoncés
advice,conseil
advise,conseiller
affair,affaire
affected,touchés
aforementioned,susmentionnées
afraid,apeuré
african,african
after,après
afterward,suite
again,ànouveau
against,contre
age,âge
aged,âgés
agenda,l'ordredujour
agent,agent
ages,âges
aging,vieillissement
ago,Ilya
agree,êtred'accord
agreed,convenues
ah,Ah!
ahead,àvenir
ai,AI
aids,SIDA
aim,objectif
aimed,visant
aims,vise
aint,n'estpas
air,air
airplane,avion
airplay,Airplay
airport,Aéroport
aka,aka
akin,s'apparente
akira,akira
al,al
alan,alan
albert,albert
album,Album
albums,Albums
alcoholic,alcoolisées
alert,alerte
alex,alex
alfred,alfred
alien,exotiques
aliens,étrangers
alike,ressemblent
alive,vivante
all,tous
all-time,detouslestemps
allowed,autorisé
allowing,permettant
allows,permet
almost,presque
alone,seul
along,lelongde
alongside,auxcôtésde
alot,beaucoup
alphabet,alphabet
already,déjà
alright,alright
also,également
