source,target
!,!
"""",""""
#,#
&,&
',""""
'70s,70erJahre
'all,"""alle"
'd,'d
'hara,'Hara
'i,'i
'll,'ll
'm,'m
'mon,'MO
'n,'n
're,'re
'roll,'Roll
's,'s
'the,"""Die"
've,'ve
(,(
),)
*,*
+,+
",",","
-,--
--,--
.,.
..,..
...,...
....,....
.....,.....
/,/
1/2,1/2
10/10,10/10
100%,100%
18th,18.
1930s,1930
1950s,1950
1980s,1980er
1990s,1990erJahre
1st,1.
2-disc,2-Disc
2.0,"2,0"
2.35,"2,35"
2.5,"2,5"
21st,21.
3/5,3/5
3rd,3.
4.5,"4,5"
4/5,4/5
5-star,5-Sterne-
5.1,"5,1"
5/5,5/5
5th,5.
60s,60s
70s,70s
8/10,8/10
80s,80s
9/10,9/10
90s,90s
;,;
<happy>,<happy>
<num>,<num>
=,=
?,?
@,@
[,[
],]
`,""""
a,a
aaron,aaron
ab,ab
abilities,Fähigkeiten
ability,Fähigkeit
able,fähig
abomination,Greuel
abortion,Abtreibung
about,über
above,über
absent,abwesend
absolute,absolute
absolutely,absolut
absorb,absorbieren
abstract,Zusammenfassung
absurd,absurd
abused,missbraucht
abusive,missbräuchlichen
abysmal,abgründigen
academic,akademischen
academy,Akademie
accent,Akzent
accents,Akzente
accept,akzeptieren
acceptable,annehmbar
accepted,Wirakzeptieren
accessible,zugänglich
accident,Unfall
accidental,zufällige
acclaimed,gefeiert
according,nach
account,Konto
accurate,akkurat
accustomed,gewohnt
ace,As
achieved,erreicht
achievement,Leistung
acoustic,Beschallung
acquired,erworben
across,über
act,Akt
acted,gehandelt
acting,Handeln
action,Aktion
active,aktiv
activities,Aktivitäten
actor,Schauspieler
actors,Akteure
actress,Schauspielerin
actresses,Schauspielerinnen
acts,Handlungen
actual,tatsächlichen
actually,tatsächlich
ad,ad
adam,adam
adams,adams
adapt,Anpassung
adaptation,Anpassung
adapted,angepasst
add,hinzufügen
added,hat
addictive,süchtig
adding,Hinzufügen
addition,Darüberhinaus
additional,zusätzliche
address,Adresse
addresses,Adressen
addressing,Adressierung
adds,fügt
adequately,angemessen
admirable,bewundernswerte
admire,bewundern
admission,Zulassung
admit,zugeben
admits,räumt
adopted,angenommen
adorable,adorable
adult,Erwachsener
adults,Erwachsene
advance,Voraus
advanced,Fortgeschrittene
advantage,Vorteil
adventure,Abenteuer
adventures,Abenteuer
adventurous,Abenteurer
advice,Rat
advise,beraten
affair,Affäre
affected,betroffen
aforementioned,genannten
afraid,ängstlich
african,african
after,nach
afterward,danach
again,erneut
against,gegen
age,Alter
aged,imAltervon
agenda,Tagesordnung
agent,Agent
ages,Alter
aging,Alterung
ago,vor
agree,zustimmen
agreed,vereinbart
ah,ah
ahead,vor
ai,ai
aids,Beihilfen
aimed,Ziel
aims,Ziele
aint,istnicht
air,Luft
airplane,Flugzeug
airplay,Airplay
airport,Flughafen
aka,aka
akin,verwandt
akira,akira
al,al
alan,alan
albert,albert
album,Album
albums,Alben
alcoholic,Alkoholiker
alert,Alarm
alex,alex
alfred,alfred
alien,Ausländer
aliens,Aliens
alike,gleichermaßen
alive,lebendig
all,alle
all-time,all-time
allowed,erlaubt
allows,ermöglicht
