source,target
!,!
"""",""""
#,#
&,&
"""",'
70erJahre,'70s
"""alle",'all
'd,'d
'Hara,'hara
'i,'i
'll,'ll
'm,'m
'MO,'mon
'n,'n
're,'re
'Roll,'roll
's,'s
"""Die",'the
've,'ve
(,(
),)
*,*
+,+
",",","
--,-
--,--
.,.
..,..
...,...
....,....
.....,.....
/,/
1/2,1/2
10/10,10/10
100%,100%
18.,18th
1930,1930s
1950,1950s
1980er,1980s
1990erJahre,1990s
1.,1st
2-Disc,2-disc
"2,0",2.0
"2,35",2.35
"2,5",2.5
21.,21st
3/5,3/5
3.,3rd
"4,5",4.5
4/5,4/5
5-Sterne-,5-star
"5,1",5.1
5/5,5/5
5.,5th
60s,60s
70s,70s
8/10,8/10
80s,80s
9/10,9/10
90s,90s
;,;
<happy>,<happy>
<num>,<num>
=,=
?,?
@,@
[,[
],]
"""",`
a,a
aaron,aaron
ab,ab
Fähigkeiten,abilities
Fähigkeit,ability
fähig,able
Greuel,abomination
Abtreibung,abortion
über,about
über,above
abwesend,absent
absolute,absolute
absolut,absolutely
absorbieren,absorb
Zusammenfassung,abstract
absurd,absurd
missbraucht,abused
missbräuchlichen,abusive
abgründigen,abysmal
akademischen,academic
Akademie,academy
Akzent,accent
Akzente,accents
akzeptieren,accept
annehmbar,acceptable
Wirakzeptieren,accepted
zugänglich,accessible
Unfall,accident
zufällige,accidental
gefeiert,acclaimed
nach,according
Konto,account
akkurat,accurate
gewohnt,accustomed
As,ace
erreicht,achieved
Leistung,achievement
Beschallung,acoustic
erworben,acquired
über,across
Akt,act
gehandelt,acted
Handeln,acting
Aktion,action
aktiv,active
Aktivitäten,activities
Schauspieler,actor
Akteure,actors
Schauspielerin,actress
Schauspielerinnen,actresses
Handlungen,acts
tatsächlichen,actual
tatsächlich,actually
ad,ad
adam,adam
adams,adams
Anpassung,adapt
Anpassung,adaptation
angepasst,adapted
hinzufügen,add
hat,added
süchtig,addictive
Hinzufügen,adding
Darüberhinaus,addition
zusätzliche,additional
Adresse,address
Adressen,addresses
Adressierung,addressing
fügt,adds
angemessen,adequately
bewundernswerte,admirable
bewundern,admire
Zulassung,admission
zugeben,admit
räumt,admits
angenommen,adopted
adorable,adorable
Erwachsener,adult
Erwachsene,adults
Voraus,advance
Fortgeschrittene,advanced
Vorteil,advantage
Abenteuer,adventure
Abenteuer,adventures
Abenteurer,adventurous
Rat,advice
beraten,advise
Affäre,affair
betroffen,affected
genannten,aforementioned
ängstlich,afraid
african,african
nach,after
danach,afterward
erneut,again
gegen,against
Alter,age
imAltervon,aged
Tagesordnung,agenda
Agent,agent
Alter,ages
Alterung,aging
vor,ago
zustimmen,agree
vereinbart,agreed
ah,ah
vor,ahead
ai,ai
Beihilfen,aids
Ziel,aimed
Ziele,aims
istnicht,aint
Luft,air
Flugzeug,airplane
Airplay,airplay
Flughafen,airport
aka,aka
verwandt,akin
akira,akira
al,al
alan,alan
albert,albert
Album,album
Alben,albums
Alkoholiker,alcoholic
Alarm,alert
alex,alex
alfred,alfred
Ausländer,alien
Aliens,aliens
gleichermaßen,alike
lebendig,alive
alle,all
all-time,all-time
erlaubt,allowed
ermöglicht,allows
fast,almost
